Codigo_Producto_SKU,Nombre,Descripcion_Producto,Stock,Categoria,Imagen(url del servidor)
SKU-1001,Martillo de Uña Curva 20oz,Martillo profesional con cabeza forjada y mango de fibra de vidrio.,45,Herramientas manuales,https://server.com/img/martillo.jpg
1002-A,Lijadora Orbital Bosch GEX 125-1,Lijadora excéntrica de 125 mm con velocidad ajustable.,-5,HERRAMIENTAS MANUALES,https://server.com/img/lijadora_bosch.jpg
NULL,Kit de Tornillos y Tacos,Surtido de tornillos autorroscantes y tacos de plásti,150,Tornillos,https://server.com/img/tornillos.jpg
4532B,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores, acabado mate.,12,Pintura,https://server.com/img/pintura_mate.jpg
SKU_4005,Guantes de Seguridad Nitrilo,Guantes resistentes a químicos, talla L.,120,Seguridad,https://server.com/img/guantes.jpg
77-PRM,Taladro Percutor Inalámbrico,Potente taladro a batería de 18V con cargador rápido.,NULL,Herramientas,https://server.com/img/taladro_inal.jpg
1007,Manguera de Jardín Reforzada 25m,Manguera de PVC tricapa, resistente a torceduras.,90,JARDIN,https://server.com/img/manguera_jardin.jpg
"N/A,Sierra Circular Eléctrica 7 1/4"",Herramienta eléctrica para cortes rápidos y precisos en madera.,33,HERRAMIENTAS,https://server.com/img/sierra_cir.jpg"
1009,Cinta Métrica Autoretractil 5m,Cinta de acero recubierta de nylon.,55,HERRAMIENTAS MANUALES,NULL
SKU-1010,Bombilla LED E27 10W Blanca,Bombilla de bajo consumo, luz fría.,1000,ILUMINACION,https://server.com/img/led_e27.jpg
1011,Adhesivo Sellador de Silicona,Silicona acética para sellar juntas y fisuras. Color blanco.,145,quimicos,https://server.com/img/silicona.jpg
4532C,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores, acabado satín.,NULL,Pinturas,https://server.com/img/pintura_satin.jpg
1013,Escalera Plegable Aluminio 3m,Escalera de tijera con peldaños antideslizantes.,18,SEGURIDAD,https://server.com/img/escalera.jpg
1014-X,Lámpara Solar de Exterior,Foco con sensor de movimiento y panel solar integrado.,-10,iluminación,https://server.com/img/lampara_solar.jpg
SKU-1015,Candado de Seguridad Latón 50mm,Candado de arco largo, resistente a la corrosión.,95,HERRAJES,https://server.com/img/candado.jpg
NULL,Pasta para Soldar Estaño,Pasta fundente para soldadura electrónica. Contiene plomo.,200,soldadura,https://server.com/img/pasta_sold.jpg
9999,Nivel Láser Autonivelante,NULL,25,HERRAMIENTAS,https://server.com/img/nivel_laser.jpg
"1018,Llave Ajustable Cromada 12"",Herramienta manual de acero forjado y acabado cromo.,70,manuales,https://server.com/img/llave_ajust.jpg"
1019,Tubo PVC 1/2 pulgada,Tubo rígido para instalaciones eléctricas y de fontanería.,150,Fontanería,https://server.com/img/tubo_pvc.jpg
INV-2020,Electrodos para Soldadura 6013,Electrodos de rutilo para soldadura de acero al carbono.,50,SOLDADURA,https://server.com/img/electrodos.jpg
"1021,Discos de Corte para Metal 4.5"",Disco abrasivo de óxido de aluminio.,100,CONSUMIBLES,https://server.com/img/disco_corte.jpg"
SKU-1022,Brocas para Concreto Set 5pcs,Set de brocas de widia para perforar hormigón.,-2,Brocas,https://server.com/img/brocas_conc.jpg
1023,Rodillo de Pintura Antigoteo,Rodillo de lana sintética de 9 pulgadas.,180,pintura,https://server.com/img/rodillo_pint.jpg
INVALID,Lona de Polietileno 3x4m,Lona impermeable y resistente a UV.,40,SEGURIDAD,NULL
1025,Pistola de Silicona Reforzada,Pistola para cartuchos de sellador, de aluminio.,75,Herramientas,https://server.com/img/pistola_sil.jpg
1026,Cargador Batería 18V Litio,NULL,NULL,HERRAMIENTAS,https://server.com/img/cargador_bat.jpg
4532D,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores, acabado mate. Formula mejorada.,10,Pintura,https://server.com/img/pintura_mate_v2.jpg
SKU-1028,Lijadora Roto Orbital Neumática,Lijadora de aire comprimido, alta velocidad.,30,HERRAMIENTAS MANUALES,https://server.com/img/lijadora_neum.jpg
1029,Máscara de Soldar Fotosensible,Casco automático con oscurecimiento rápido.,15,seguridad,https://server.com/img/mascara_sold.jpg
1030,Cinta de Embalaje Transparente,Cinta adhesiva de polipropileno. 48mm x 50m.,100,EMBALAJES,https://server.com/img/cinta_emb.jpg
1031,Cemento de Contacto 1/4 Gl.,Adhesivo industrial de secado rápido para madera y cuero.,NULL,QUIMICOS,https://server.com/img/cemento_cont.jpg
4532E,Pintura Acrílica Interior 1 Gl.,Pintura base agua para interiores, acabado satín. Nuevo color.,13,PINTURAS,https://server.com/img/pintura_satin_v2.jpg
1033,Set de Brocas para Madera 10pcs,Brocas de acero rápido con punta de centrado.,110,BROCAS,https://server.com/img/brocas_madera.jpg
NULL,Codo PVC 90 grados 1/2 pulg,Codo para fontanería de presión.,400,fontaneria,https://server.com/img/codo_pvc.jpg
1035,Clavos de Acero 2 pulgadas,Caja de 1 kg de clavos lisos.,75,FIJACIONES,https://server.com/img/clavos.jpg
SKU-1036,Bomba Sumergible 1/2 HP,Bomba para extracción de agua limpia.,5,JARDINERIA,https://server.com/img/bomba_agua.jpg
1037,Caja de Herramientas Plástico,Organizador de herramientas con bandeja extraíble.,22,HERRAMIENTAS MANUALES,https://server.com/img/caja_herra.jpg
1038,Llave de Tubo 18mm,Llave de boca fija para tuercas y pernos.,90,Manuales,NULL
